time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543543365142,10,2,45,0,6.3111157;-2.528277;12.229582,-0.5215393;-1.1571882;-2.3725832,-16.1875;28.4375;-39.875,1021.7788,5.0,4800.0, , , , , 
1543543365153,10,2,45,0,6.38773;-3.1507695;11.865664,0.11129965;-0.2665467;-2.5020866,-16.25;29.1875;-40.625,1021.7788,5.0,4800.0, , , , , 
1543543365162,10,2,45,0,5.995081;-3.3806129;11.769896,0.5877745;0.34796628;-2.6694636,-16.9375;29.1875;-39.125,1021.7788,5.0,4800.0, , , , , 
1543543365172,10,2,45,0,4.8267107;-3.3518825;11.779472,0.82967716;0.5287824;-2.8319538,-16.9375;27.6875;-41.375,1021.7788,5.0,4800.0, , , , , 
1543543365182,10,2,45,0,3.916914;-3.2465374;11.329363,0.78569484;0.2648886;-2.9516833,-18.3125;27.75;-41.375,1021.7788,5.0,4800.0, , , , , 
1543543365193,10,2,45,0,3.064578;-3.0262709;10.91756,0.6048788;-0.08695231;-2.994444,-19.0;27.75;-40.625,1021.7788,5.0,4800.0, , , , , 
1543543365204,10,2,45,0,2.6240451;-2.815581;10.534488,0.43139303;-0.42170644;-3.0188785,-19.6875;26.25;-41.375,1021.7788,5.0,4800.0, , , , , 
1543543365214,10,2,45,0,2.3654714;-2.9113493;10.132261,0.3263242;-0.5927487;-3.0249872,-20.375;24.0;-39.125,1021.7788,5.0,4800.0, , , , , 
1543543365224,10,2,45,0,2.4229321;-2.72939;9.950302,0.32510248;-0.5964139;-3.0066612,-23.125;22.625;-40.625,1021.7788,5.0,4800.0, , , , , 
1543543365234,10,2,45,0,2.3750482;-2.7581203;9.710882,0.463158;-0.41315433;-3.007883,-23.125;21.875;-40.625,1021.77734,5.0,4800.0, , , , , 
