time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543544173305,10,16,13,0,-3.466804;2.030283;12.469003,0.1772731;-1.2256051;-0.6474997,50.5625;9.5625;-20.125,1021.6284,5.0,8037.0, , , , , 
1543544173315,10,16,13,0,-4.1946416;2.1164744;11.827356,0.213925;-1.1376405;-0.64872146,49.8125;11.875;-23.125,1021.6284,5.0,8037.0, , , , , 
1543544173325,10,16,13,0,-4.9416323;2.1930888;11.233594,0.16016887;-0.872525;-0.5228832,47.0;11.9375;-22.375,1021.62354,5.0,8037.0, , , , , 
1543544173336,10,16,13,0,-5.2768207;2.0207062;11.070788,0.0893085;-0.7442433;-0.43369687,48.375;11.875;-24.625,1021.62354,5.0,8037.0, , , , , 
1543544173346,10,16,13,0,-5.2480903;1.3790601;10.907983,-0.07438593;-0.6245137;-0.35550612,49.125;11.875;-23.875,1021.62354,5.0,8037.0, , , , , 
1543544173356,10,16,13,0,-5.506664;1.7908629;10.726024,-0.20022418;-0.4070457;-0.20156808,48.375;12.625;-23.875,1021.62354,5.0,8037.0, , , , , 
1543544173366,10,16,13,0,-5.746084;2.3654714;10.697293,-0.23321089;-0.30930725;-0.11360348,49.0625;12.625;-25.375,1021.62354,5.0,8037.0, , , , , 
1543544173376,10,16,13,0,-5.602432;2.719813;10.898406,-0.25153685;-0.062517695;0.14172074,47.6875;11.125;-25.375,1021.62354,5.0,8037.0, , , , , 
1543544173386,10,16,13,0,-5.315128;2.5570073;11.013328,-0.20511109;0.022985986;0.22357668,48.375;12.625;-25.375,1021.62354,5.0,8037.0, , , , , 
1543544173396,10,16,13,0,-4.7022123;1.982399;11.089942,-0.06705555;0.06941175;0.24556783,46.9375;12.6875;-25.375,1021.62354,5.0,8037.0, , , , , 
1543544173406,10,16,13,0,-4.261679;1.8387469;10.860099,0.11007792;0.015655603;0.18814649,48.375;11.875;-26.0625,1021.62354,5.0,8037.0, , , , , 
1543544173417,10,16,13,0,-4.0797195;1.9057846;10.43872,0.16872098;-0.017313667;0.1563815,46.9375;12.6875;-23.875,1021.62354,5.0,8037.0, , , , , 
